_id,placeId,stationName,address,bussinessStatus,location,openingHours,rating,totalUserRating,__v
{'$oid': '66a7efbb3147785e8b3208a1'},ChIJH7jpeADVdDER6UpV-fJrsNc,VinFast Trạm sạc điện,"Ấp, Tổ 15A/14A Dân Thắng 2, Tân Thới Nhì, Hóc Môn, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8904576, 'lng': 106.5841486}",Open,4.7,13,0
{'$oid': '66a7efbb3147785e8b3208a4'},ChIJzwofNgApdTERsqfR0cnWpUY,Electric Vehicle Charging Station,"140B Đ. Thạnh Lộc 28, khu phố 3c, Quận 12, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8712356, 'lng': 106.6860906}",Closed,0,0,0
{'$oid': '66a7efbb3147785e8b3208a7'},ChIJ2VfGgYQudTERZr_wZhDTbzU,Rửa Xe 225,"225 Đ. Đặng Nguyên Cẩn, Phường 14, 6, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7576193, 'lng': 106.6350598}",Closed,0,0,0
{'$oid': '66a7efbc3147785e8b3208aa'},ChIJW0qBalQodTERAj4IJQyFFXI,Rửa Xe 234,"230 Đ. Lê Đức Thọ, Phường 6, Gò Vấp, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8379193, 'lng': 106.6805475}",Closed,0,0,0
{'$oid': '66a7efbc3147785e8b3208ad'},ChIJLeH5b_EudTERjimTI5e6fwA,quang tỷ - quang phát,"108E Tân Hưng, Phường 12, Quận 5, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7547558, 'lng': 106.6557629}",Closed,2.3,36,0
{'$oid': '66a7efbc3147785e8b3208b0'},ChIJCxLXDZcudTERv8hsXd4POrQ,Rửa Xe 306,"306 Lạc Long Quân, Phường 5, 11, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7672244, 'lng': 106.6427881}",Closed,5,1,0
{'$oid': '66a7efbd3147785e8b3208b3'},ChIJzRP0loIudTERKTjCf9iQ8oI,Rửa Xe 116,"116 Tân Hòa Đông, Phường 14, 6, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7587167, 'lng': 106.6300568}",Closed,5,1,0
{'$oid': '66a7efbd3147785e8b3208b6'},ChIJcYQ3DBrVdDERIkmv6R6DoSM,VinFast Charging Station,"12F Tân Hiệp 18A, Tân Hiệp, Hóc Môn, Hồ Chí Minh 70000, Vietnam",OPERATIONAL,"{'lat': 10.8938373, 'lng': 106.5920793}",Closed,5,7,0
{'$oid': '66a7efbd3147785e8b3208b9'},ChIJI2sF4ucodTERmeYLJOfRcp4,Rửa Xe 50,"50 Trần Bình Trọng, Phường 5, Bình Thạnh, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8126381, 'lng': 106.6880978}",Closed,5,1,0
{'$oid': '66a7efbe3147785e8b3208bc'},ChIJ1QE-cgDVdDERtRDcNgu38ZA,Electric Vehicle Charging Station,"Tổ 128 Tổ 118 ấp Tam Đông 3, Thới Tam Thôn, Hóc Môn, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8895686, 'lng': 106.6191285}",Closed,5,2,0
{'$oid': '66a7efbe3147785e8b3208bf'},ChIJR3Aua9wpdTERv8-maRCNZcs,Trạm đổi PIN XMĐ Vinfast,"447- 447A- 447B Cộng Hòa, Phường 15, Tân Bình, Hồ Chí Minh 100000, Vietnam",OPERATIONAL,"{'lat': 10.8047714, 'lng': 106.6365821}",Closed,5,1,0
{'$oid': '66a7efbe3147785e8b3208c2'},ChIJh3D3LgAtdTER-BHCZS3cz3Y,VinFast Charging Station,"A3/19 ấp 1 Đ. Võ Văn Vân, Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7822082, 'lng': 106.5736776}",Closed,4.5,2,0
{'$oid': '66a7efbf3147785e8b3208c5'},ChIJq-IMEykvdTERYSdgzAPZJtk,Rửa Xe 120,"120 Rạch Bùng Binh, Phường 9, 3, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7833076, 'lng': 106.6801759}",Closed,0,0,0
